county_fips,county_name,state_fips,balancing_area,rto
01001,Autauga,01,p90,rto9
01003,Baldwin,01,p90,rto9
01005,Barbour,01,p90,rto9
01007,Bibb,01,p89,rto14
01009,Blount,01,p90,rto9
01011,Bullock,01,p90,rto9
01013,Butler,01,p90,rto9
01015,Calhoun,01,p90,rto9
01017,Chambers,01,p90,rto9
01019,Cherokee,01,p90,rto9
01021,Chilton,01,p90,rto9
01023,Choctaw,01,p89,rto14
01025,Clarke,01,p90,rto9
01027,Clay,01,p90,rto9
01029,Cleburne,01,p90,rto9
01031,Coffee,01,p90,rto9
01033,Colbert,01,p89,rto14
01035,Conecuh,01,p90,rto9
01037,Coosa,01,p90,rto9
01039,Covington,01,p90,rto9
01041,Crenshaw,01,p90,rto9
01043,Cullman,01,p89,rto14
01045,Dale,01,p90,rto9
01047,Dallas,01,p90,rto9
01049,DeKalb,01,p89,rto14
01051,Elmore,01,p90,rto9
01053,Escambia,01,p90,rto9
01055,Etowah,01,p90,rto9
01057,Fayette,01,p89,rto14
01059,Franklin,01,p89,rto14
01061,Geneva,01,p90,rto9
01063,Greene,01,p89,rto14
01065,Hale,01,p89,rto14
01067,Henry,01,p90,rto9
01069,Houston,01,p90,rto9
01071,Jackson,01,p89,rto14
01073,Jefferson,01,p89,rto14
01075,Lamar,01,p89,rto14
01077,Lauderdale,01,p89,rto14
01079,Lawrence,01,p89,rto14
01081,Lee,01,p90,rto9
01083,Limestone,01,p89,rto14
01085,Lowndes,01,p90,rto9
01087,Macon,01,p90,rto9
01089,Madison,01,p89,rto14
01091,Marengo,01,p89,rto14
01093,Marion,01,p89,rto14
01095,Marshall,01,p89,rto14
01097,Mobile,01,p90,rto9
01099,Monroe,01,p90,rto9
01101,Montgomery,01,p90,rto9
01103,Morgan,01,p89,rto14
01105,Perry,01,p89,rto14
01107,Pickens,01,p89,rto14
01109,Pike,01,p90,rto9
01111,Randolph,01,p90,rto9
01113,Russell,01,p90,rto9
01115,St. Clair,01,p90,rto9
01117,Shelby,01,p89,rto14
01119,Sumter,01,p89,rto14
01121,Talladega,01,p90,rto9
01123,Tallapoosa,01,p90,rto9
01125,Tuscaloosa,01,p89,rto14
01127,Walker,01,p89,rto14
01129,Washington,01,p90,rto9
01131,Wilcox,01,p89,rto14
01133,Winston,01,p89,rto14
02013,Aleutians East,02,NONE,
02016,Aleutians West,02,NONE,
02020,Anchorage,02,NONE,
02050,Bethel,02,NONE,
02060,Bristol Bay,02,NONE,
02068,Denali,02,NONE,
02070,Dillingham,02,NONE,
02090,Fairbanks North Star,02,NONE,
02100,Haines,02,NONE,
02105,Hoonah-Angoon,02,NONE,
02110,Juneau,02,NONE,
02122,Kenai Peninsula,02,NONE,
02130,Ketchikan Gateway,02,NONE,
02150,Kodiak Island,02,NONE,
02158,Kusilvak,02,NONE,
02164,Lake and Peninsula,02,NONE,
02170,Matanuska-Susitna,02,NONE,
02180,Nome,02,NONE,
02185,North Slope,02,NONE,
02188,Northwest Arctic,02,NONE,
02195,Petersburg,02,NONE,
02198,Prince of Wales-Hyder,02,NONE,
02220,Sitka,02,NONE,
02230,Skagway,02,NONE,
02240,Southeast Fairbanks,02,NONE,
02261,Valdez-Cordova,02,NONE,
02275,Wrangell,02,NONE,
02282,Yakutat,02,NONE,
02290,Yukon-Koyukuk,02,NONE,
04001,Apache,04,p29,rto3
04003,Cochise,04,p28,rto3
04005,Coconino,04,p28,rto3
04007,Gila,04,p28,rto3
04009,Graham,04,p28,rto3
04011,Greenlee,04,p28,rto3
04012,La Paz,04,p28,rto3
04013,Maricopa,04,p28,rto3
04015,Mohave,04,p27,rto3
04017,Navajo,04,p28,rto3
04019,Pima,04,p30,rto3
04021,Pinal,04,p28,rto3
04023,Santa Cruz,04,p30,rto3
04025,Yavapai,04,p28,rto3
04027,Yuma,04,p28,rto3
05001,Arkansas,05,p85,rto13
05003,Ashley,05,p85,rto13
05005,Baxter,05,p85,rto13
05007,Benton,05,p56,rto8
05009,Boone,05,p56,rto8
05011,Bradley,05,p85,rto13
05013,Calhoun,05,p85,rto13
05015,Carroll,05,p56,rto8
05017,Chicot,05,p85,rto13
05019,Clark,05,p85,rto13
05021,Clay,05,p85,rto13
05023,Cleburne,05,p56,rto8
05025,Cleveland,05,p85,rto13
05027,Columbia,05,p85,rto13
05029,Conway,05,p85,rto13
05031,Craighead,05,p85,rto13
05033,Crawford,05,p56,rto8
05035,Crittenden,05,p85,rto13
05037,Cross,05,p85,rto13
05039,Dallas,05,p85,rto13
05041,Desha,05,p85,rto13
05043,Drew,05,p85,rto13
05045,Faulkner,05,p85,rto13
05047,Franklin,05,p56,rto8
05049,Fulton,05,p85,rto13
05051,Garland,05,p85,rto13
05053,Grant,05,p85,rto13
05055,Greene,05,p85,rto13
05057,Hempstead,05,p85,rto13
05059,Hot Spring,05,p85,rto13
05061,Howard,05,p56,rto8
05063,Independence,05,p85,rto13
05065,Izard,05,p85,rto13
05067,Jackson,05,p85,rto13
05069,Jefferson,05,p85,rto13
05071,Johnson,05,p56,rto8
05073,Lafayette,05,p85,rto13
05075,Lawrence,05,p85,rto13
05077,Lee,05,p85,rto13
05079,Lincoln,05,p85,rto13
05081,Little River,05,p85,rto13
05083,Logan,05,p56,rto8
05085,Lonoke,05,p85,rto13
05087,Madison,05,p56,rto8
05089,Marion,05,p56,rto8
05091,Miller,05,p85,rto13
05093,Mississippi,05,p85,rto13
05095,Monroe,05,p85,rto13
05097,Montgomery,05,p56,rto8
05099,Nevada,05,p85,rto13
05101,Newton,05,p56,rto8
05103,Ouachita,05,p85,rto13
05105,Perry,05,p85,rto13
05107,Phillips,05,p85,rto13
05109,Pike,05,p56,rto8
05111,Poinsett,05,p85,rto13
05113,Polk,05,p56,rto8
05115,Pope,05,p85,rto13
05117,Prairie,05,p85,rto13
05119,Pulaski,05,p85,rto13
05121,Randolph,05,p85,rto13
05123,St. Francis,05,p85,rto13
05125,Saline,05,p85,rto13
05127,Scott,05,p56,rto8
05129,Searcy,05,p56,rto8
05131,Sebastian,05,p56,rto8
05133,Sevier,05,p85,rto13
05135,Sharp,05,p85,rto13
05137,Stone,05,p85,rto13
05139,Union,05,p85,rto13
05141,Van Buren,05,p56,rto8
05143,Washington,05,p56,rto8
05145,White,05,p85,rto13
05147,Woodruff,05,p85,rto13
05149,Yell,05,p85,rto13
06001,Alameda,06,p9,rto4
06003,Alpine,06,p9,rto4
06005,Amador,06,p9,rto4
06007,Butte,06,p9,rto4
06009,Calaveras,06,p9,rto4
06011,Colusa,06,p9,rto4
06013,Contra Costa,06,p9,rto4
06015,Del Norte,06,p9,rto4
06017,El Dorado,06,p9,rto4
06019,Fresno,06,p9,rto4
06021,Glenn,06,p9,rto4
06023,Humboldt,06,p9,rto4
06025,Imperial,06,p10,rto4
06027,Inyo,06,p10,rto4
06029,Kern,06,p10,rto4
06031,Kings,06,p9,rto4
06033,Lake,06,p9,rto4
06035,Lassen,06,p8,rto2
06037,Los Angeles,06,p10,rto4
06039,Madera,06,p9,rto4
06041,Marin,06,p9,rto4
06043,Mariposa,06,p9,rto4
06045,Mendocino,06,p9,rto4
06047,Merced,06,p9,rto4
06049,Modoc,06,p8,rto2
06051,Mono,06,p10,rto4
06053,Monterey,06,p9,rto4
06055,Napa,06,p9,rto4
06057,Nevada,06,p9,rto4
06059,Orange,06,p10,rto4
06061,Placer,06,p9,rto4
06063,Plumas,06,p9,rto4
06065,Riverside,06,p10,rto4
06067,Sacramento,06,p9,rto4
06069,San Benito,06,p9,rto4
06071,San Bernardino,06,p10,rto4
06073,San Diego,06,p11,rto4
06075,San Francisco,06,p9,rto4
06077,San Joaquin,06,p9,rto4
06079,San Luis Obispo,06,p9,rto4
06081,San Mateo,06,p9,rto4
