Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Jan-2001,9.55,1.57,7.01,8.18,7.75,9.36,10.11,7.37,8.27,10.05,4.76,10.56,9.25,9.54,8.77,8.55,9.7,9.56,11.6,8.04,4.35,11.79,11.59,7.92,4.63,7.89,4.99,11.2,10.28,2.91,9.39,11.88,9.79,5.9,9.41,6.2,8.64,9.06,10.65,7.83,9.14,9.34,6.58,8.05,9.15,7.95,8.8,12.16,6.17
Feb-2001,8.54,1.55,6.49,7.46,9.34,10.07,11.82,4.61,8.02,9.35,5.44,9.55,8.48,8.44,10.38,8.47,6.97,9.56,14.47,8.71,4.4,6.7,7.72,10.53,5.95,8.64,6.65,11.38,11.4,3.32,10.92,7.75,7.06,8.25,8.1,5.92,7.08,8.02,7.9,8.75,10.57,6.35,6.3,6.35,8.67,6.69,6.57,8.19,6.17
Mar-2001,6.61,1.56,6.19,6.97,9.84,10.38,8.37,11.53,9.74,7.56,6.21,8.26,12.91,9.52,7.59,8.09,5.81,9.83,10.27,11.8,4.46,5.96,6.09,10.14,4.89,7.19,6.69,12.53,6.76,3.24,9.08,8.32,5.79,7.72,8.05,5.85,8.89,7.44,6.86,6.42,7.77,5.24,5.88,5.43,7.72,3.47,5.31,7.75,6.74
Apr-2001,7.01,1.51,6.1,5.39,10.06,7.4,8.23,7.36,8.61,6.07,6.74,7.06,9.81,7.96,7.09,7.29,5.77,9.95,9.58,11.09,4.4,6.18,6.16,9.45,4.79,6.89,6.27,10.72,6.6,6.29,7.92,7.26,5.81,7.61,8.23,5.79,8.35,7.27,6.84,5.66,7.2,5.36,5.52,4.69,5.6,5.91,6.25,8.35,7.08
May-2001,6.53,1.53,5.97,6.39,7.53,6.89,7.19,8.2,6.66,5.8,6.44,6.31,10.26,6.35,6.09,6.31,5.43,9.13,8.95,10.44,5.76,5.51,6.13,8.91,4.96,5.39,6.76,9.39,5.5,4.06,8.17,7.34,5.45,5.24,8.25,5.78,7.2,7.13,6.58,5.89,6.96,4.8,5.14,5.03,5.08,5.6,5.66,7.34,6.98
Jun-2001,5.81,1.49,6,5.74,7.09,6.77,6.24,6.89,7.56,5.01,6.23,6.24,9.21,8.08,5.29,5.9,5.18,7.98,8.49,9.23,5.77,4.28,4.61,8.7,5.9,4.8,6.78,9.54,5.74,3.17,7.31,6.07,4.49,8.45,8.19,5.58,6.68,6.24,5.15,5.62,8.47,3.89,4.42,4.87,4.37,7.12,4.27,6.62,6.83
Jul-2001,5.66,1.74,4.79,5.99,5.17,6.64,3.13,6.65,6.92,4.55,6.51,4.99,12.67,5.35,4.78,5.58,4.49,8.06,6.31,8.98,5.32,3.77,4.85,8.15,6.07,4.34,6.34,8.21,4.54,3.28,4.84,5.83,3.67,5.74,8.63,5.52,6.04,5.24,4.58,5.13,5.56,3.45,4.89,4.73,2.73,4.9,3.8,5.12,7.1
Aug-2001,5.3,1.75,7.06,5.56,4.68,6.64,4.62,6.54,6.22,4.21,6.75,5.18,9.57,5.74,4.48,5.1,4.18,6.65,6.06,8.99,5.24,3.69,4.27,8.2,6.56,4.46,6.58,5.8,4.61,2.79,4.59,5.45,3.81,4.87,6.96,5.58,5.66,5.91,4.42,5.09,5.18,3.43,4.99,4.4,3.89,3.78,3.63,5.09,7.08
Sep-2001,4.75,1.76,6.23,5.57,3.83,6.7,5.22,6.29,5.76,3.78,7.99,4.53,5.46,5.26,4.65,4.29,4.12,8.25,6.2,9.79,5.18,3.67,4.04,7.78,6.56,3.9,6.62,4.59,4.87,2.48,7.11,5.3,3.1,7,6.82,5.71,5.8,5.76,3.9,5.01,5.52,2.62,4.93,4.38,4.85,4.72,3.48,4.52,6.89
Oct-2001,4.56,1.82,6.13,5.37,3.31,5.59,4.61,6.19,5.66,3,7.1,3.7,3.85,3.87,3.29,4.78,3.54,5.75,6,7.62,5.15,2.48,3.79,7.63,5.79,3.38,8.35,3.71,4.02,2.57,4.94,5.33,2.5,5.47,7.47,6.62,4.69,4.85,3.38,4.26,4.84,2.32,4.26,4.45,4.24,3.82,3.63,3.63,7.08
